iter	Passed	Remaining
0	2	2894
1	5	2660
2	7	2633
3	10	2677
4	13	2639
5	15	2623
6	18	2657
7	21	2664
8	24	2702
9	27	2723
10	30	2710
11	33	2757
12	36	2768
13	39	2762
14	41	2753
15	44	2759
16	47	2737
17	50	2745
18	52	2718
19	54	2694
20	57	2699
21	60	2686
22	62	2668
23	65	2651
24	67	2643
25	70	2637
26	72	2623
27	75	2612
28	77	2601
29	80	2589
30	82	2575
31	84	2568
32	87	2556
33	89	2554
34	92	2550
35	94	2541
36	97	2536
37	99	2530
38	102	2525
39	105	2524
40	107	2518
41	111	2532
42	113	2534
43	116	2524
44	119	2530
45	122	2537
46	126	2557
47	128	2550
48	131	2551
49	133	2545
50	136	2541
51	139	2534
52	141	2526
53	144	2529
54	146	2523
55	149	2516
56	152	2517
57	154	2514
58	157	2512
59	160	2509
60	162	2503
61	165	2500
62	167	2493
63	170	2489
64	172	2483
65	175	2478
66	177	2475
67	180	2479
68	183	2473
69	186	2474
70	189	2473
71	191	2473
72	194	2470
73	197	2472
74	200	2468
75	202	2466
76	205	2460
77	208	2460
78	211	2463
79	213	2459
80	216	2454
81	218	2451
82	222	2455
83	225	2456
84	228	2458
85	231	2455
86	234	2460
87	237	2460
88	239	2456
89	242	2451
90	245	2449
91	247	2443
92	250	2441
93	253	2445
94	256	2441
95	259	2439
96	261	2436
97	264	2438
98	268	2440
99	271	2442
100	274	2443
101	277	2439
102	279	2434
103	283	2441
104	286	2440
105	289	2438
106	292	2437
107	294	2433
108	297	2434
109	300	2430
110	302	2426
111	305	2423
112	308	2420
113	311	2418
114	313	2415
115	316	2412
116	319	2407
117	321	2402
118	324	2401
119	327	2398
120	329	2396
121	332	2395
122	335	2393
123	339	2395
124	341	2393
125	344	2392
126	348	2393
127	350	2389
128	353	2388
129	356	2386
130	359	2381
131	362	2381
132	365	2381
133	368	2378
134	370	2374
135	373	2370
136	375	2366
137	378	2365
138	382	2366
139	384	2362
140	387	2359
141	389	2356
142	392	2354
143	395	2351
144	398	2346
145	400	2343
146	403	2343
147	406	2339
148	408	2335
149	411	2332
150	414	2329
151	416	2325
152	419	2320
153	421	2316
154	424	2312
155	426	2307
156	428	2303
157	431	2299
158	433	2294
159	436	2290
160	438	2286
161	441	2283
162	444	2281
163	446	2278
164	449	2274
165	451	2270
166	454	2265
167	456	2261
168	459	2257
169	461	2254
170	464	2250
171	466	2246
172	469	2243
173	471	2239
174	474	2235
175	477	2237
176	481	2238
177	484	2235
178	486	2232
179	489	2231
180	492	2227
181	495	2227
182	498	2223
183	500	2221
184	503	2217
185	505	2214
186	509	2213
187	512	2212
188	514	2208
189	517	2205
190	519	2201
191	522	2197
192	524	2193
193	527	2190
194	529	2187
195	532	2184
196	534	2179
197	537	2176
198	539	2172
199	542	2168
200	544	2165
201	547	2162
202	549	2158
203	552	2156
204	554	2152
205	557	2148
206	559	2144
207	562	2140
208	564	2137
209	567	2133
210	569	2130
211	571	2125
212	574	2122
213	577	2121
214	580	2118
215	582	2114
216	585	2112
217	587	2109
218	590	2105
219	593	2103
220	595	2099
221	598	2097
222	600	2093
223	603	2090
224	606	2087
225	609	2087
226	611	2083
227	614	2079
228	616	2076
229	619	2072
230	621	2068
231	623	2064
232	626	2061
233	628	2058
234	631	2057
235	634	2053
236	637	2051
237	639	2048
238	642	2046
239	645	2042
240	647	2040
241	650	2037
242	653	2034
243	655	2031
244	658	2028
245	660	2025
246	663	2022
247	665	2018
248	668	2015
249	671	2013
250	674	2011
251	677	2011
252	680	2008
253	682	2005
254	685	2003
255	689	2002
256	691	1999
257	694	1996
258	696	1992
259	698	1988
260	701	1985
261	704	1983
262	707	1983
263	710	1980
264	712	1976
265	715	1973
266	717	1970
267	720	1967
268	722	1964
269	725	1960
270	727	1957
271	729	1953
272	732	1950
273	734	1947
274	737	1944
275	739	1940
276	742	1936
277	744	1933
278	747	1931
279	749	1928
280	752	1925
281	755	1923
282	758	1920
283	760	1917
284	762	1913
285	764	1909
286	767	1905
287	770	1903
288	772	1901
289	775	1897
290	777	1893
291	779	1890
292	782	1887
293	784	1883
294	786	1880
295	789	1876
296	791	1873
297	793	1870
298	796	1866
299	798	1862
300	801	1860
301	803	1857
302	805	1854
303	808	1851
304	810	1847
305	813	1844
306	815	1841
307	817	1837
308	819	1833
309	822	1830
310	824	1827
311	826	1823
312	829	1819
313	831	1816
314	833	1813
315	836	1809
316	838	1806
317	840	1802
318	843	1799
319	845	1796
320	847	1793
321	850	1789
322	852	1786
323	854	1783
324	857	1780
325	859	1776
326	862	1774
327	864	1771
328	867	1768
329	869	1764
330	872	1762
331	874	1759
332	876	1756
333	879	1753
334	882	1751
335	884	1748
336	887	1745
337	889	1742
338	892	1739
339	894	1737
340	897	1734
341	900	1731
342	902	1729
343	905	1726
344	908	1725
345	911	1722
346	914	1720
347	917	1719
348	920	1717
349	923	1715
350	926	1713
351	930	1713
352	933	1711
353	937	1711
354	940	1709
355	943	1707
356	946	1705
357	950	1703
358	952	1700
359	955	1698
360	957	1695
361	961	1693
362	963	1691
363	966	1688
364	968	1685
365	971	1682
366	974	1680
367	976	1677
368	980	1675
369	982	1673
370	985	1671
371	988	1668
372	991	1667
373	994	1665
374	998	1663
375	1000	1660
376	1003	1658
377	1006	1656
378	1009	1653
379	1012	1652
380	1015	1650
381	1019	1649
382	1022	1647
383	1026	1645
384	1029	1643
385	1031	1641
386	1034	1638
387	1037	1636
388	1040	1633
389	1042	1631
390	1045	1628
391	1048	1626
392	1051	1624
393	1054	1621
394	1058	1621
395	1062	1620
396	1065	1618
397	1068	1616
398	1072	1615
399	1075	1613
400	1078	1610
401	1082	1609
402	1084	1607
403	1088	1605
404	1092	1604
405	1095	1602
406	1098	1600
407	1101	1598
408	1104	1595
409	1108	1594
410	1111	1592
411	1115	1592
412	1119	1590
413	1122	1588
414	1125	1586
415	1128	1583
416	1131	1581
417	1133	1578
418	1136	1576
419	1139	1573
420	1141	1570
421	1144	1567
422	1147	1564
423	1149	1561
424	1153	1560
425	1156	1557
426	1159	1556
427	1162	1553
428	1165	1550
429	1168	1548
430	1170	1545
431	1173	1542
432	1176	1540
433	1179	1537
434	1181	1534
435	1185	1534
436	1189	1532
437	1192	1530
438	1195	1527
439	1198	1525
440	1201	1522
441	1203	1519
442	1206	1517
443	1209	1514
444	1213	1513
445	1217	1511
446	1220	1510
447	1223	1507
448	1226	1504
449	1229	1502
450	1232	1499
451	1234	1496
452	1237	1494
453	1240	1491
454	1242	1488
455	1246	1487
456	1249	1484
457	1253	1482
458	1256	1480
459	1259	1478
460	1262	1475
461	1265	1473
462	1268	1471
463	1271	1468
464	1274	1466
465	1277	1464
466	1280	1461
467	1283	1458
468	1286	1456
469	1289	1454
470	1292	1452
471	1295	1449
472	1298	1447
473	1301	1444
474	1304	1441
475	1307	1439
476	1311	1437
477	1314	1435
478	1317	1432
479	1319	1429
480	1323	1427
481	1326	1425
482	1329	1423
483	1332	1420
484	1335	1418
485	1338	1415
486	1341	1412
487	1344	1410
488	1347	1407
489	1350	1405
490	1353	1403
491	1356	1400
492	1359	1397
493	1361	1394
494	1365	1392
495	1368	1390
496	1371	1387
497	1375	1386
498	1378	1384
499	1381	1381
500	1386	1380
501	1389	1378
502	1391	1375
503	1394	1372
504	1396	1369
505	1399	1366
506	1402	1363
507	1405	1361
508	1408	1358
509	1411	1355
510	1414	1353
511	1416	1350
512	1419	1347
513	1422	1344
514	1424	1341
515	1427	1338
516	1430	1336
517	1433	1333
518	1435	1330
519	1439	1329
520	1442	1326
521	1445	1323
522	1448	1320
523	1450	1317
524	1453	1315
525	1456	1312
526	1459	1309
527	1461	1306
528	1464	1303
529	1467	1301
530	1471	1299
531	1474	1297
532	1477	1294
533	1480	1291
534	1483	1289
535	1485	1286
536	1489	1284
537	1493	1282
538	1496	1280
539	1500	1278
540	1504	1276
541	1507	1274
542	1510	1271
543	1513	1268
544	1516	1265
545	1518	1262
546	1521	1259
547	1524	1257
548	1526	1254
549	1529	1251
550	1532	1248
551	1535	1246
552	1538	1243
553	1540	1240
554	1543	1237
555	1546	1234
556	1548	1231
557	1551	1228
558	1554	1226
559	1556	1223
560	1561	1221
561	1564	1219
562	1567	1216
563	1570	1214
564	1573	1211
565	1576	1208
566	1579	1206
567	1583	1204
568	1586	1201
569	1590	1199
570	1594	1197
571	1597	1195
572	1600	1193
573	1603	1190
574	1606	1187
575	1609	1184
576	1612	1182
577	1614	1179
578	1618	1176
579	1621	1174
580	1624	1171
581	1627	1168
582	1630	1166
583	1633	1163
584	1636	1160
585	1639	1158
586	1643	1156
587	1647	1154
588	1651	1152
589	1654	1149
590	1657	1146
591	1660	1144
592	1663	1141
593	1666	1139
594	1669	1136
595	1673	1134
596	1676	1131
597	1680	1129
598	1683	1126
599	1687	1124
600	1690	1122
601	1694	1120
602	1697	1117
603	1700	1115
604	1705	1113
605	1709	1111
606	1713	1109
607	1715	1106
608	1719	1103
609	1722	1101
610	1726	1098
611	1729	1096
612	1732	1093
613	1735	1091
614	1739	1088
615	1743	1086
616	1747	1084
617	1750	1081
618	1753	1079
619	1756	1076
620	1759	1074
621	1763	1071
622	1767	1069
623	1770	1066
624	1773	1064
625	1776	1061
626	1779	1058
627	1782	1055
628	1785	1052
629	1788	1050
630	1791	1047
631	1794	1045
632	1797	1042
633	1800	1039
634	1803	1036
635	1806	1033
636	1808	1030
637	1811	1027
638	1814	1025
639	1817	1022
640	1820	1019
641	1822	1016
642	1825	1013
643	1827	1010
644	1830	1007
645	1833	1004
646	1836	1001
647	1838	998
648	1842	996
649	1845	993
650	1847	990
651	1850	987
652	1852	984
653	1855	981
654	1857	978
655	1860	975
656	1863	972
657	1866	970
658	1869	967
659	1871	964
660	1874	961
661	1877	958
662	1879	955
663	1881	952
664	1884	949
665	1886	946
666	1889	943
667	1892	940
668	1895	937
669	1897	934
670	1900	931
671	1903	929
672	1906	926
673	1909	923
674	1911	920
675	1914	917
676	1917	914
677	1920	911
678	1922	909
679	1925	906
680	1930	904
681	1932	901
682	1936	898
683	1938	895
684	1941	892
685	1944	890
686	1947	887
687	1950	884
688	1953	881
689	1955	878
690	1958	875
691	1961	873
692	1964	870
693	1967	867
694	1969	864
695	1972	861
696	1975	858
697	1977	855
